Order_ID,Order_Date,Delivery_Date,Product_ID,Category,Supplier,Price,Quantity,Region,City,Marketing_Channel,Return_Status,Return_Date,Return_Reason,Return_Flag,Delivery_Days,Return_Days,Return_Probability,Risk_Level
ORD100000,2024-10-21,2024-10-27,P1102,Electronics,Supplier A,758.41,3,South,Chennai,Social Media,No,,,0,6,,0.18045836254155342,Low
ORD100001,2024-11-16,2024-11-20,P1179,Fashion,Supplier C,814.39,1,West,Chennai,Ads,Yes,2024-11-24,Wrong Item,1,4,4.0,0.2719912784593237,Low
ORD100002,2024-08-20,2024-08-27,P1092,Electronics,Supplier A,734.67,3,East,Mumbai,Social Media,Yes,2024-09-08,Damaged,1,7,12.0,0.15097594475564022,Low
ORD100003,2024-06-06,2024-06-10,P1014,Sports,Supplier A,619.34,1,South,Chennai,Social Media,No,,,0,4,,0.17902395391139175,Low
ORD100004,2024-09-25,2024-10-02,P1106,Electronics,Supplier A,1160.1,3,South,Chennai,Social Media,No,,,0,7,,0.2134322090017366,Low
ORD100005,2024-01-21,2024-01-29,P1071,Fashion,Supplier D,28.18,2,East,Mumbai,Email,No,,,0,8,,0.14537733688766105,Low
ORD100006,2024-02-22,2024-02-27,P1188,Home,Supplier A,901.68,3,West,Chennai,Email,No,,,0,5,,0.13068910493844868,Low
ORD100007,2024-10-01,2024-10-10,P1020,Electronics,Supplier A,852.61,2,East,Bangalore,Social Media,No,,,0,9,,0.15900684887938454,Low
ORD100008,2024-11-08,2024-11-14,P1102,Beauty,Supplier B,1077.11,2,North,Bangalore,Organic,Yes,2024-11-27,Late Delivery,1,6,13.0,0.3233604200645705,Low
ORD100009,2024-10-07,2024-10-11,P1121,Home,Supplier B,902.55,3,North,Kolkata,Social Media,No,,,0,4,,0.15443420531187663,Low
ORD100010,2024-08-01,2024-08-08,P1074,Beauty,Supplier D,1241.93,1,West,Bangalore,Social Media,No,,,0,7,,0.21707898041328538,Low
ORD100011,2024-01-31,2024-02-07,P1087,Beauty,Supplier A,1439.02,1,South,Delhi,Ads,No,,,0,7,,0.30499395996016687,Low
ORD100012,2024-12-02,2024-12-10,P1116,Beauty,Supplier B,520.36,4,South,Delhi,Social Media,No,,,0,8,,0.1745216850350108,Low
ORD100013,2024-07-01,2024-07-08,P1099,Electronics,Supplier B,348.75,1,South,Delhi,Email,No,,,0,7,,0.14749829970089537,Low
ORD100014,2024-01-23,2024-02-01,P1103,Sports,Supplier C,641.16,4,East,Mumbai,Ads,No,,,0,9,,0.18840045391838717,Low
ORD100015,2024-02-01,2024-02-04,P1151,Home,Supplier A,439.02,1,East,Bangalore,Organic,No,,,0,3,,0.14922707220401937,Low
ORD100016,2024-03-14,2024-03-16,P1130,Fashion,Supplier B,926.28,1,West,Delhi,Ads,No,,,0,2,,0.2836641067496854,Low
ORD100017,2024-01-10,2024-01-19,P1149,Sports,Supplier D,1368.66,2,North,Kolkata,Organic,Yes,2024-01-21,Damaged,1,9,2.0,0.35267719436152456,Low
ORD100018,2024-02-23,2024-02-28,P1052,Electronics,Supplier C,217.28,4,South,Mumbai,Ads,No,,,0,5,,0.17623386478614977,Low
ORD100019,2024-02-21,2024-03-01,P1001,Beauty,Supplier C,160.18,1,North,Kolkata,Ads,No,,,0,9,,0.1936249833546793,Low
ORD100020,2024-05-27,2024-06-04,P1087,Fashion,Supplier A,391.46,4,East,Bangalore,Organic,No,,,0,8,,0.25155619833879433,Low
ORD100021,2024-06-08,2024-06-16,P1157,Home,Supplier A,1091.88,2,East,Chennai,Email,No,,,0,8,,0.13087274694930953,Low
ORD100022,2024-01-14,2024-01-23,P1037,Sports,Supplier C,893.51,2,East,Kolkata,Email,No,,,0,9,,0.16660785179959758,Low
ORD100023,2024-06-26,2024-06-30,P1129,Sports,Supplier D,162.3,4,North,Chennai,Email,No,,,0,4,,0.15100950654396958,Low
ORD100024,2024-02-22,2024-02-25,P1191,Fashion,Supplier A,1378.94,2,West,Mumbai,Ads,No,,,0,3,,0.333817851950653,Low
ORD100025,2024-11-30,2024-12-04,P1187,Electronics,Supplier A,1187.23,3,West,Kolkata,Social Media,No,,,0,4,,0.19871634887988796,Low
ORD100026,2024-01-22,2024-01-26,P1020,Home,Supplier C,44.3,3,East,Kolkata,Ads,No,,,0,4,,0.10364427359969113,Low
ORD100027,2024-01-30,2024-02-08,P1160,Fashion,Supplier C,980.54,2,South,Hyderabad,Social Media,No,,,0,9,,0.2598738673557014,Low
ORD100028,2024-07-09,2024-07-15,P1057,Beauty,Supplier A,1159.16,3,North,Mumbai,Social Media,Yes,2024-07-17,Not as Described,1,6,2.0,0.23872063102854327,Low
ORD100029,2024-09-16,2024-09-22,P1021,Home,Supplier B,567.91,1,East,Mumbai,Email,No,,,0,6,,0.10286977046463543,Low
ORD100030,2024-07-23,2024-07-29,P1088,Sports,Supplier A,112.69,4,North,Delhi,Social Media,No,,,0,6,,0.15130273949301035,Low
ORD100031,2024-02-28,2024-03-02,P1048,Fashion,Supplier B,125.21,1,North,Bangalore,Ads,Yes,2024-03-09,Damaged,1,3,7.0,0.23562405765419714,Low
ORD100032,2024-09-20,2024-09-24,P1058,Sports,Supplier C,165.33,4,West,Kolkata,Ads,No,,,0,4,,0.16650739656189797,Low
ORD100033,2024-01-12,2024-01-14,P1169,Sports,Supplier B,1262.26,2,East,Kolkata,Email,Yes,2024-01-27,No Longer Needed,1,2,13.0,0.19495878359197075,Low
ORD100034,2024-04-28,2024-05-03,P1187,Sports,Supplier D,1366.92,1,West,Mumbai,Organic,No,,,0,5,,0.31554909049348845,Low
ORD100035,2024-10-16,2024-10-22,P1014,Electronics,Supplier C,192.99,2,East,Mumbai,Ads,No,,,0,6,,0.1472816379641122,Low
ORD100036,2024-12-03,2024-12-09,P1189,Sports,Supplier A,361.5,2,North,Bangalore,Social Media,No,,,0,6,,0.16867676020835196,Low
ORD100037,2024-09-04,2024-09-12,P1189,Beauty,Supplier A,256.63,4,West,Mumbai,Ads,No,,,0,8,,0.17616111115289204,Low
ORD100038,2024-12-19,2024-12-23,P1174,Beauty,Supplier C,287.62,4,North,Chennai,Ads,Yes,2024-12-24,Size Issue,1,4,1.0,0.20418264675735556,Low
ORD100039,2024-05-06,2024-05-10,P1189,Home,Supplier C,1257.86,4,East,Chennai,Ads,Yes,2024-05-17,Damaged,1,4,7.0,0.17853548302428537,Low
ORD100040,2024-03-15,2024-03-18,P1050,Sports,Supplier D,504.9,1,South,Hyderabad,Organic,No,,,0,3,,0.24629288829780302,Low
ORD100041,2024-12-26,2024-12-29,P1107,Sports,Supplier C,474.05,3,West,Chennai,Social Media,No,,,0,3,,0.15412436411176542,Low
ORD100042,2024-07-22,2024-07-28,P1054,Fashion,Supplier A,348.82,4,West,Chennai,Email,No,,,0,6,,0.18133964463509578,Low
ORD100043,2024-02-18,2024-02-22,P1063,Electronics,Supplier D,915.76,4,North,Bangalore,Ads,No,,,0,4,,0.2465992692732689,Low
ORD100044,2024-03-19,2024-03-21,P1130,Home,Supplier A,575.17,1,North,Kolkata,Social Media,No,,,0,2,,0.1334860908155911,Low
ORD100045,2024-08-28,2024-09-02,P1050,Sports,Supplier B,1118.93,4,South,Chennai,Social Media,No,,,0,5,,0.22042709508800626,Low
ORD100046,2024-12-14,2024-12-23,P1134,Fashion,Supplier C,316.31,1,West,Hyderabad,Email,No,,,0,9,,0.1788434003267302,Low
ORD100047,2024-06-02,2024-06-06,P1020,Electronics,Supplier B,1183.81,2,East,Mumbai,Ads,No,,,0,4,,0.22428984319117987,Low
ORD100048,2024-09-30,2024-10-08,P1072,Home,Supplier A,909.55,4,East,Chennai,Organic,No,,,0,8,,0.18302395656934617,Low
ORD100049,2024-04-05,2024-04-14,P1166,Home,Supplier B,180.26,4,West,Hyderabad,Social Media,No,,,0,9,,0.09604640609132793,Low
ORD100050,2024-08-01,2024-08-05,P1017,Sports,Supplier B,627.61,2,West,Bangalore,Email,Yes,2024-08-19,Damaged,1,4,14.0,0.16099516084395038,Low
ORD100051,2024-10-20,2024-10-27,P1131,Home,Supplier A,1296.64,2,West,Mumbai,Organic,No,,,0,7,,0.23193667813611035,Low
ORD100052,2024-07-27,2024-07-30,P1088,Fashion,Supplier A,1385.21,2,South,Hyderabad,Social Media,Yes,2024-08-11,Damaged,1,3,12.0,0.30233800940410344,Low
ORD100053,2024-12-08,2024-12-16,P1059,Home,Supplier C,703.89,4,East,Chennai,Ads,No,,,0,8,,0.14011019938999814,Low
ORD100054,2024-03-28,2024-04-02,P1013,Beauty,Supplier B,726.45,3,East,Kolkata,Social Media,No,,,0,5,,0.1613631396656339,Low
ORD100055,2024-11-01,2024-11-07,P1008,Fashion,Supplier D,1378.5,3,North,Mumbai,Organic,No,,,0,6,,0.4222228747802266,Medium
ORD100056,2024-09-20,2024-09-28,P1089,Electronics,Supplier D,884.73,3,North,Mumbai,Organic,No,,,0,8,,0.2846456174900664,Low
ORD100057,2024-11-20,2024-11-24,P1052,Electronics,Supplier A,58.94,4,West,Kolkata,Ads,No,,,0,4,,0.1507796497498882,Low
ORD100058,2024-11-15,2024-11-21,P1129,Sports,Supplier A,1370.0,2,North,Mumbai,Ads,No,,,0,6,,0.3061818362597456,Low
ORD100059,2024-06-05,2024-06-09,P1083,Sports,Supplier B,379.86,4,South,Chennai,Email,No,,,0,4,,0.1576801353708522,Low
ORD100060,2024-06-04,2024-06-10,P1091,Beauty,Supplier A,870.67,2,East,Mumbai,Ads,No,,,0,6,,0.21072568971930414,Low
ORD100061,2024-05-18,2024-05-23,P1110,Electronics,Supplier D,256.61,4,East,Chennai,Email,No,,,0,5,,0.11882027362370379,Low
ORD100062,2024-04-30,2024-05-03,P1187,Electronics,Supplier C,60.48,4,North,Kolkata,Organic,No,,,0,3,,0.20584473667440054,Low
ORD100063,2024-03-05,2024-03-10,P1198,Electronics,Supplier C,474.1,2,West,Delhi,Organic,No,,,0,5,,0.21396759548372685,Low
ORD100064,2024-04-16,2024-04-23,P1171,Electronics,Supplier B,1172.94,3,North,Kolkata,Social Media,No,,,0,7,,0.22519203061492696,Low
ORD100065,2024-05-26,2024-05-28,P1007,Home,Supplier C,423.6,2,West,Chennai,Social Media,No,,,0,2,,0.10760846065539993,Low
ORD100066,2024-05-16,2024-05-19,P1174,Fashion,Supplier A,337.94,1,South,Bangalore,Email,No,,,0,3,,0.19641229607673438,Low
ORD100067,2024-06-10,2024-06-15,P1034,Fashion,Supplier A,326.89,1,East,Kolkata,Ads,No,,,0,5,,0.20827697183328706,Low
ORD100068,2024-04-09,2024-04-16,P1080,Beauty,Supplier A,777.61,2,South,Bangalore,Ads,No,,,0,7,,0.2372939989357732,Low
ORD100069,2024-12-03,2024-12-05,P1163,Home,Supplier A,1463.56,4,East,Bangalore,Social Media,No,,,0,2,,0.15817090328810393,Low
ORD100070,2024-11-02,2024-11-09,P1049,Electronics,Supplier B,693.89,1,South,Chennai,Organic,No,,,0,7,,0.2529776416993968,Low
ORD100071,2024-05-20,2024-05-24,P1103,Electronics,Supplier C,840.38,1,North,Chennai,Email,No,,,0,4,,0.19205970904042463,Low
ORD100072,2024-03-23,2024-04-01,P1131,Sports,Supplier D,1292.34,4,South,Delhi,Organic,No,,,0,9,,0.32981972632501955,Low
ORD100073,2024-06-25,2024-06-29,P1001,Sports,Supplier C,807.25,4,South,Hyderabad,Organic,No,,,0,4,,0.2766269157846023,Low
ORD100074,2024-07-16,2024-07-22,P1133,Beauty,Supplier A,284.85,3,North,Mumbai,Ads,No,,,0,6,,0.20394868539366903,Low
ORD100075,2024-04-21,2024-04-24,P1053,Electronics,Supplier D,456.4,4,East,Kolkata,Email,No,,,0,3,,0.13013615630430544,Low
ORD100076,2024-02-25,2024-02-29,P1105,Beauty,Supplier B,471.81,2,East,Chennai,Organic,Yes,2024-03-14,Wrong Item,1,4,14.0,0.21139537848102968,Low
ORD100077,2024-06-27,2024-07-05,P1003,Home,Supplier A,602.0,2,North,Kolkata,Social Media,No,,,0,8,,0.13510815820127683,Low
ORD100078,2024-07-04,2024-07-11,P1053,Fashion,Supplier A,645.92,3,South,Hyderabad,Social Media,No,,,0,7,,0.22782521451507667,Low
ORD100079,2024-08-05,2024-08-08,P1190,Electronics,Supplier D,1201.68,1,South,Hyderabad,Ads,No,,,0,3,,0.26305106769665004,Low
ORD100080,2024-11-11,2024-11-20,P1145,Home,Supplier B,530.59,1,South,Bangalore,Social Media,Yes,2024-12-02,Wrong Item,1,9,12.0,0.12393488130275881,Low
ORD100081,2024-08-04,2024-08-12,P1043,Electronics,Supplier D,707.67,4,West,Mumbai,Social Media,No,,,0,8,,0.16196009298416295,Low
ORD100082,2024-04-29,2024-05-03,P1161,Sports,Supplier B,941.21,2,East,Delhi,Organic,Yes,2024-05-17,Not as Described,1,4,14.0,0.2510593014952426,Low
ORD100083,2024-06-23,2024-06-29,P1189,Beauty,Supplier A,572.81,1,South,Kolkata,Social Media,No,,,0,6,,0.1784859551713999,Low
ORD100084,2024-01-23,2024-01-28,P1013,Sports,Supplier C,1256.48,3,East,Mumbai,Social Media,No,,,0,5,,0.1989248587252515,Low
ORD100085,2024-07-31,2024-08-06,P1094,Fashion,Supplier A,885.31,3,South,Delhi,Organic,No,,,0,6,,0.3470248199036626,Low
ORD100086,2024-08-22,2024-08-30,P1047,Sports,Supplier C,448.13,2,North,Kolkata,Ads,No,,,0,8,,0.21459980240662038,Low
ORD100087,2024-01-13,2024-01-15,P1014,Electronics,Supplier C,1073.95,3,North,Mumbai,Ads,No,,,0,2,,0.26219884065786253,Low
ORD100088,2024-04-10,2024-04-14,P1199,Sports,Supplier B,796.2,3,East,Chennai,Email,Yes,2024-04-15,Size Issue,1,4,1.0,0.15969968572476825,Low
ORD100089,2024-01-24,2024-02-01,P1189,Electronics,Supplier D,806.34,2,East,Kolkata,Social Media,No,,,0,8,,0.15581563783441918,Low
ORD100090,2024-12-29,2024-12-31,P1039,Fashion,Supplier B,726.82,4,North,Mumbai,Organic,No,,,0,2,,0.3424175352855578,Low
ORD100091,2024-01-11,2024-01-13,P1081,Sports,Supplier A,750.55,4,West,Hyderabad,Email,No,,,0,2,,0.16981889615377804,Low
ORD100092,2024-09-29,2024-10-06,P1110,Beauty,Supplier D,1150.38,3,North,Delhi,Ads,Yes,2024-10-20,Damaged,1,7,14.0,0.2866510202616386,Low
ORD100093,2024-10-07,2024-10-10,P1052,Beauty,Supplier C,163.44,4,South,Mumbai,Ads,No,,,0,3,,0.18437974998049467,Low
ORD100094,2024-04-03,2024-04-10,P1023,Beauty,Supplier C,508.2,4,West,Chennai,Organic,No,,,0,7,,0.23141833607447693,Low
ORD100095,2024-07-19,2024-07-23,P1153,Sports,Supplier A,122.5,3,North,Kolkata,Email,No,,,0,4,,0.1483751993229931,Low
ORD100096,2024-01-21,2024-01-23,P1187,Sports,Supplier D,1132.34,4,West,Kolkata,Email,Yes,2024-01-29,Damaged,1,2,6.0,0.19966743781634064,Low
ORD100097,2024-12-05,2024-12-14,P1123,Sports,Supplier A,415.73,3,West,Kolkata,Organic,No,,,0,9,,0.21943922678405578,Low
ORD100098,2024-07-29,2024-08-06,P1040,Electronics,Supplier A,1347.17,1,West,Chennai,Organic,No,,,0,8,,0.3000284226510606,Low
