Student_ID,Gender,Math_Score,Reading_Score,Writing_Score,Study_Hours_per_Week,Attendance_%,Math_Outlier
S001,Female,37,68,89,11,65,0
S002,Female,49,71,81,2,86,0
S003,Male,100,89,95,10,89,0
S004,Male,67,76,90,13,96,0
S005,Female,87,52,54,3,69,0
S006,Female,43,98,36,15,74,0
S007,Male,98,92,67,23,87,0
S008,Male,35,92,54,7,64,0
S009,Female,88,37,100,8,63,0
S010,Male,100,94,69,2,62,0
S011,Female,91,55,46,7,96,0
S012,Male,90,54,96,20,69,0
S013,Male,97,45,78,5,76,0
S014,Male,66,90,35,10,65,0
S015,Female,56,38,74,3,64,0
S016,Female,38,86,89,20,80,0
S017,Female,42,82,50,12,96,0
S018,Male,70,81,80,11,88,0
S019,Male,53,92,34,14,76,0
S020,Female,37,43,84,25,89,0
S021,Male,68,65,77,6,63,0
S022,Female,77,97,53,24,72,0
S023,Male,44,72,41,14,85,0
S024,Male,52,40,51,15,94,0
S025,Male,89,78,46,11,70,0
S026,Female,38,40,33,7,61,0
S027,Female,83,80,82,7,60,0
S028,Female,40,55,43,7,63,0
S029,Female,36,59,32,12,91,0
S030,Male,90,92,39,2,86,0
S031,Female,41,86,78,11,63,0
S032,Female,59,97,44,24,88,0
S033,Female,86,37,72,5,76,0
S034,Male,43,93,94,25,64,0
S035,Male,70,56,72,15,74,0
S036,Male,31,89,60,22,64,0
S037,Male,100,97,41,23,76,0
S038,Female,85,83,61,13,87,0
S039,Female,52,65,51,2,93,0
S040,Female,82,40,94,11,86,0
S041,Female,53,70,89,22,75,0
S042,Female,98,48,56,4,85,0
S043,Female,72,43,78,20,73,0
S044,Male,60,43,92,16,87,0
S045,Female,86,60,59,17,98,0
S046,Male,80,50,88,5,67,0
S047,Female,45,88,74,10,86,0
S048,Female,52,75,96,24,77,0
S049,Female,77,54,31,9,86,0
S050,Male,76,49,36,23,84,0
S051,Female,40,66,90,18,71,0
S052,Female,66,53,66,7,88,0
S053,Female,95,93,54,5,81,0
S054,Male,77,50,45,10,72,0
S055,Female,61,50,36,23,99,0
S056,Male,89,57,93,14,72,0
S057,Male,49,76,65,3,74,0
S058,Female,88,41,47,16,87,0
S059,Female,39,78,76,15,64,0
S060,Male,30,82,83,7,93,0
S061,Female,88,82,68,25,81,0
S062,Female,41,87,58,24,95,0
S063,Male,43,59,36,6,91,0
S064,Male,56,99,74,18,98,0
S065,Female,63,35,37,24,82,0
S066,Female,75,45,96,23,91,0
S067,Male,98,68,82,21,90,0
S068,Male,74,88,44,13,76,0
S069,Female,51,64,45,3,64,0
S070,Female,48,75,70,7,88,0
S071,Male,91,99,37,9,64,0
S072,Male,37,35,32,15,99,0
S073,Male,78,62,57,16,84,0
S074,Male,90,100,59,5,77,0
S075,Male,96,52,99,19,85,0
S076,Male,86,70,100,4,99,0
S077,Female,54,62,100,14,79,0
S078,Male,90,58,31,21,93,0
S079,Female,83,64,43,9,61,0
S080,Female,90,92,32,6,63,0
S081,Male,36,44,60,14,97,0
S082,Female,38,47,45,20,65,0
S083,Male,67,83,94,22,64,0
S084,Female,48,68,90,6,74,0
S085,Female,100,38,74,22,80,0
S086,Female,68,72,76,22,95,0
S087,Female,46,98,48,8,71,0
S088,Male,47,77,85,24,61,0
S089,Male,67,85,32,9,69,0
S090,Male,46,48,74,24,69,0
S091,Male,45,41,49,5,96,0
S092,Female,94,43,56,12,95,0
S093,Male,41,88,90,2,68,0
S094,Female,83,60,44,21,71,0
S095,Female,83,75,85,8,74,0
S096,Female,53,44,51,12,93,0
S097,Female,69,95,98,18,81,0
S098,Male,51,63,32,15,93,0
S099,Female,37,42,66,25,94,0
S100,Male,41,88,30,3,72,0
